No;Autor;UO;Função;Eh;Subfunção;Localização;Subtítulo;Qtde;Unidade;Valor
1;Luzia de Paula (Alírio);DER-DF;Urbanismo;Não é evento;Desenvolvimento urbano;X-Guará;Realização de obras de pavimentação asfáltica no Setor Joquei Clube;5.000;m2;1.500.000,00
2;Luzia de Paula (Alírio);AR Guará;Urbanismo;Não é evento;Desenvolvimento urbano;X-Guará;Realização de obras de urbanização e Infraestrutura em diversas localidades do Guará;10.000;m2;2.300.000,00
3;Luzia de Paula (Alírio);AR Guará;Energia;Não é evento;Infra-Estrutura urbana;X-Guará;Ampliação dos pontos de iluminação pública;150;luminária;300.000,00
4;Luzia de Paula (Alírio);AR Guará;Desporto e Lazer;Não é evento;Desporto Comunitário;X-Guará;Construção de campo sintético de futebol amador no Guará;500;m2;1.000.000,00
5;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do 12o Encontro de Violeiros;1;evento;150.000,00
6;Luzia de Paula (Alírio);AR Guará;Urbanismo;Não é evento;Infra-Estrutura urbana;X-Guará;Construção de pista para a prática de cooper e caminhadas no Guará;3.000;m2;400.000,00
7;Luzia de Paula (Alírio);AR Guará;Urbanismo;Não é evento;Infra-Estrutura urbana;X-Guará;Construção de Pontos de Encontro Comunitários - PEC no Guará;4;PEC;400.000,00
8;Luzia de Paula (Alírio);AR Guará;Desporto e Lazer;Não é evento;Lazer;X-Guará;Construção de playgrounds em diversos locais do Guará;5;play-ground;300.000,00
9;Luzia de Paula (Alírio);AR Guará;Desporto e Lazer;Não é evento;Desporto Comunitário;X-Guará;Construção de diversas quadras poliesportivas no Guará;1.200;m2;300.000,00
10;Luzia de Paula (Alírio);AR Recanto das Emas;Desporto e Lazer;Não é evento;Infra-Estrutura urbana;XV-Recanto das Emas;Construção de Pontos de Encontro Comunitários - PEC em Água Quente;1;PEC;100.000,00
11;Luzia de Paula (Alírio);Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Construção de Pontos de Encontro Comunitários - PEC em Ceilândia;5;PEC;500.000,00
12;Luzia de Paula (Alírio);Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Construção do Estacionamento do HRC;3.000;m2;350.000,00
13;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização da Semana da África;1;evento;150.000,00
14;Luzia de Paula (Alírio);AR Águas Claras;Urbanismo;Não é evento;Infra-Estrutura urbana;XX-Águas Claras;Construção da Praça Ipê Amarelo em Águas Claras;3.000;m2;150.000,00
15;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do Festival da Arte e da Cultura Candanga - FACC;1;evento;300.000,00
16;Luzia de Paula (Alírio);SE Criança;Cultura;Evento;Difusão cultural;DF;Exibição de filmes cinematorgáficos nas unidades do sistema socio-educativo da Sec. Da Criança;100;evento;250.000,00
17;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização do Dia do Sertanejo;1;evento;225.000,00
18;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do Dia do Estudante (umesb);1;evento;200.000,00
19;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização de eventos culturais das paróquias São Marcos e São Lucas em Ceilândia ;4;evento;200.000,00
20;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do evento Viva Arte Via;1;evento;100.000,00
21;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização da Semana de Arte e Cultura de Ceilândia;1;evento;100.000,00
22;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização da Caravana da Igualdade Racial;1;evento;150.000,00
23;Luzia de Paula (Alírio);SE Justiça;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Construção de galpão e reforma das instalações prediais da Junta de Serviço Militar;500;m2;350.000,00
24;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio ao lançamento do CD Cantando São Francisco do Rio Abaixo nas escolas;1;evento;100.000,00
25;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização do evento Tributo ao Rei Roberto Carlos;1;evento;90.000,00
26;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização do Festival de Música Cristã;1;evento;100.000,00
27;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização de 10 edições do evento Andança Sertaneja;10;evento;400.000,00
28;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização do Festival Internacional de Bonecos;1;evento;100.000,00
29;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização de 7 eventos relativos a aniversários de bairros de Ceilândia;7;evento;350.000,00
30;Luzia de Paula (Alírio);SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização da Festa de Criança no Sol Nascente;1;evento;200.000,00
